smallRNAName	NC2	NC3	NC4	NC5	Pcos1	Pcos2	Pcos3	Pcos4	Pcos5
tsrna-15969	1.084043743	3.874552328	4.404859441	1.255366693	5.979895591	0	9.960556197	0	0
tsrna-16383	11.92448118	23.24731397	26.42915665	18.83050039	11.95979118	30.13307519	15.93688992	79.30753195	45.9928711
tsrna-21398	1.084043743	1.291517443	8.809718882	6.276833463	0	0	5.976333718	5.664823711	3.285205079
tsrna-24236	1.084043743	3.874552328	0	5.02146677	5.979895591	3.766634399	3.984222479	16.99447113	3.285205079
tsrna-04583	0	0	0	2.510733385	0	0	0	0	0
tsrna-21994	0	0	0	1.255366693	0	0	0	0	0
tsrna-02551	0	0	4.404859441	0	0	0	0	0	3.285205079
tsrna-24134	5.420218717	1.291517443	0	5.02146677	5.979895591	15.0665376	1.992111239	16.99447113	6.570410158
tsrna-02341	3.25213123	2.583034885	17.61943776	1.255366693	0	3.766634399	0	62.31306082	9.855615237
tsrna-01770	0	0	0	1.255366693	0	0	0	5.664823711	0
tsrna-05440	0	1.291517443	0	1.255366693	0	3.766634399	1.992111239	5.664823711	0
tsrna-01889	6.50426246	3.874552328	4.404859441	5.02146677	0	3.766634399	3.984222479	11.32964742	0
tsrna-17157	0	1.291517443	0	1.255366693	0	0	0	0	0
tsrna-25117	2.168087487	0	39.64373497	5.02146677	11.95979118	3.766634399	0	45.31858969	3.285205079
tsrna-24515	0	0	0	1.255366693	0	0	0	0	3.285205079
tsrna-04831	0	0	0	0	0	0	0	5.664823711	0
tsrna-21826	0	1.291517443	0	0	0	0	0	5.664823711	3.285205079
tsrna-14381	0	0	4.404859441	0	0	0	0	16.99447113	0
tsrna-00134	0	1.291517443	0	1.255366693	0	0	1.992111239	22.65929484	3.285205079
tsrna-11689	0	0	0	1.255366693	0	0	0	0	0
tsrna-24224	0	1.291517443	0	0	0	0	0	0	0
tsrna-17729	0	1.291517443	0	0	11.95979118	7.533268798	5.976333718	0	3.285205079
tsrna-13695	0	0	0	0	0	0	0	11.32964742	0
tsrna-03091	1.084043743	3.874552328	22.0242972	3.766100078	5.979895591	15.0665376	7.968444958	39.65376597	3.285205079
tsrna-08017	0	0	0	2.510733385	11.95979118	3.766634399	7.968444958	5.664823711	0
tsrna-13962	0	0	13.21457832	0	0	0	0	0	0
tsrna-01893	0	2.583034885	4.404859441	0	11.95979118	22.59980639	5.976333718	0	13.14082032
tsrna-21997	0	0	0	1.255366693	0	0	0	0	3.285205079
tsrna-09956	1.084043743	1.291517443	0	0	0	0	0	0	0
tsrna-11797	1.084043743	0	0	1.255366693	0	3.766634399	1.992111239	22.65929484	3.285205079
tsrna-21397	1.084043743	1.291517443	4.404859441	5.02146677	0	0	0	5.664823711	0
tsrna-14770	17720.86307	19142.87153	14998.5464	16988.87745	16737.72776	18283.24337	17405.0759	10604.54999	17138.9149
tsrna-23047	1.084043743	0	8.809718882	0	5.979895591	0	0	5.664823711	3.285205079
tsrna-18221	4.336174973	3.874552328	26.42915665	6.276833463	0	3.766634399	9.960556197	84.97235566	6.570410158
tsrna-22296	0	0	4.404859441	0	0	0	1.992111239	0	0
tsrna-20967	0	0	0	0	0	0	1.992111239	0	0
tsrna-17505	1.084043743	2.583034885	44.04859441	1.255366693	0	7.533268798	0	0	9.855615237
tsrna-21201	0	0	0	1.255366693	0	3.766634399	0	5.664823711	0
tsrna-22795	0	0	0	0	0	3.766634399	0	0	0
tsrna-20411	0	0	0	0	0	3.766634399	0	0	0
tsrna-16378	0	0	0	1.255366693	0	0	0	0	0
tsrna-03093	1.084043743	12.91517443	30.83401609	1.255366693	0	0	7.968444958	62.31306082	0
tsrna-24844	0	2.583034885	0	8.787566848	5.979895591	18.833172	7.968444958	0	3.285205079
tsrna-06592	2.168087487	6.457587213	8.809718882	3.766100078	5.979895591	18.833172	5.976333718	11.32964742	9.855615237
tsrna-04800	1.084043743	0	0	1.255366693	0	0	0	0	3.285205079
tsrna-01122	2.168087487	1.291517443	8.809718882	0	11.95979118	0	1.992111239	0	0
tsrna-05155	0	3.874552328	4.404859441	0	0	0	0	5.664823711	3.285205079
tsrna-17299	5.420218717	1.291517443	4.404859441	3.766100078	5.979895591	15.0665376	7.968444958	16.99447113	0
tsrna-24035	0	0	0	0	0	0	0	0	3.285205079
tsrna-23637	1.084043743	1.291517443	0	1.255366693	5.979895591	3.766634399	1.992111239	5.664823711	3.285205079
tsrna-15743	0	0	0	0	0	0	1.992111239	0	0
tsrna-06309	0	0	0	1.255366693	0	0	0	0	3.285205079
tsrna-04690	0	1.291517443	0	1.255366693	0	0	0	11.32964742	6.570410158
tsrna-23757	0	2.583034885	0	2.510733385	5.979895591	3.766634399	0	11.32964742	6.570410158
tsrna-16096	0	2.583034885	0	0	0	0	1.992111239	5.664823711	6.570410158
tsrna-08981	0	1.291517443	8.809718882	0	5.979895591	0	3.984222479	22.65929484	0
tsrna-00631	0	1.291517443	0	1.255366693	0	0	0	0	0
tsrna-14319	0	0	0	1.255366693	0	0	1.992111239	5.664823711	0
tsrna-07121	1.084043743	0	0	0	0	3.766634399	0	0	0
tsrna-01932	0	0	0	1.255366693	0	0	0	0	0
tsrna-08697	2.168087487	0	0	2.510733385	5.979895591	0	3.984222479	16.99447113	0
tsrna-15444	0	0	0	0	0	0	1.992111239	16.99447113	6.570410158
tsrna-02187	0	0	4.404859441	2.510733385	0	0	1.992111239	0	0
tsrna-24076	1.084043743	0	0	0	5.979895591	3.766634399	0	33.98894226	3.285205079
tsrna-03122	0	1.291517443	0	0	0	3.766634399	0	0	0
tsrna-11320	1.084043743	0	0	0	0	0	0	0	0
tsrna-13565	0	1.291517443	4.404859441	1.255366693	0	3.766634399	1.992111239	0	0
tsrna-02430	2.168087487	10.33213954	8.809718882	7.532200156	11.95979118	3.766634399	9.960556197	11.32964742	6.570410158
tsrna-19857	0	6.457587213	4.404859441	6.276833463	0	0	3.984222479	5.664823711	3.285205079
tsrna-20204	0	7.749104656	4.404859441	10.04293354	0	7.533268798	5.976333718	16.99447113	19.71123047
tsrna-03098	0	1.291517443	4.404859441	0	5.979895591	3.766634399	1.992111239	11.32964742	3.285205079
tsrna-01542	0	0	0	0	0	3.766634399	0	0	0
tsrna-00452	0	2.583034885	0	1.255366693	0	7.533268798	3.984222479	0	3.285205079
tsrna-24253	0	0	4.404859441	0	0	0	0	0	0
tsrna-04917	0	1.291517443	0	0	0	0	0	0	0
tsrna-24560	0	0	0	0	0	0	0	5.664823711	0
tsrna-17419	1.084043743	2.583034885	0	1.255366693	0	3.766634399	3.984222479	5.664823711	0
tsrna-00222	5.420218717	1.291517443	13.21457832	2.510733385	5.979895591	3.766634399	3.984222479	11.32964742	0
tsrna-05808	0	0	0	0	0	0	0	0	3.285205079
tsrna-13360	0	3.874552328	0	1.255366693	5.979895591	11.2999032	1.992111239	11.32964742	0
tsrna-18945	5.420218717	15.49820931	8.809718882	1.255366693	0	15.0665376	5.976333718	5.664823711	16.42602539
tsrna-07580	0	1.291517443	0	1.255366693	0	0	1.992111239	0	3.285205079
tsrna-16157	0	0	0	2.510733385	0	0	0	0	3.285205079
tsrna-12912	0	0	0	0	0	0	0	5.664823711	3.285205079
tsrna-25251	0	0	0	0	0	0	0	5.664823711	0
tsrna-09592	1.084043743	2.583034885	0	0	0	0	1.992111239	16.99447113	0
tsrna-12939	3.25213123	1.291517443	259.886707	3.766100078	0	3.766634399	1.992111239	33.98894226	6.570410158
tsrna-00062	0	1.291517443	57.26317273	0	0	18.833172	1.992111239	45.31858969	0
tsrna-17468	0	0	0	1.255366693	0	3.766634399	0	0	0
tsrna-15942	0	1.291517443	0	0	0	0	0	0	9.855615237
tsrna-13389	1.084043743	3.874552328	4.404859441	0	5.979895591	3.766634399	3.984222479	5.664823711	0
tsrna-12956	0	2.583034885	17.61943776	0	0	0	0	0	0
tsrna-18041	21.68087487	30.99641862	110.121486	15.06440031	35.87937355	33.89970959	25.89744611	67.97788453	36.13725587
tsrna-23098	0	1.291517443	0	0	0	3.766634399	1.992111239	0	3.285205079
tsrna-11615	0	1.291517443	4.404859441	3.766100078	29.89947796	18.833172	3.984222479	11.32964742	0
tsrna-25801	0	0	0	0	0	0	0	5.664823711	0
tsrna-09698	0	0	0	1.255366693	0	0	1.992111239	0	0
tsrna-21929	0	6.457587213	8.809718882	7.532200156	5.979895591	7.533268798	5.976333718	11.32964742	3.285205079
tsrna-03011	1.084043743	9.040622098	4.404859441	3.766100078	11.95979118	0	0	0	3.285205079
tsrna-11006	3.25213123	10.33213954	0	10.04293354	5.979895591	18.833172	7.968444958	22.65929484	3.285205079
tsrna-02830	0	0	0	0	0	0	0	0	3.285205079
tsrna-16408	0	1.291517443	0	0	0	0	0	0	0
tsrna-21870	0	0	0	3.766100078	0	0	0	5.664823711	0
tsrna-02726	0	1.291517443	0	0	0	0	0	5.664823711	0
tsrna-23591	4.336174973	18.0812442	4.404859441	1.255366693	11.95979118	60.26615039	27.88955735	11.32964742	3.285205079
tsrna-03955	0	2.583034885	0	0	0	0	3.984222479	0	0
tsrna-04138	5.420218717	7.749104656	220.242972	16.319767	17.93968677	26.36644079	1.992111239	62.31306082	29.56684571
tsrna-11312	2.168087487	5.16606977	22.0242972	5.02146677	5.979895591	11.2999032	5.976333718	39.65376597	6.570410158
tsrna-03359	289.4396795	272.5101804	330.3644581	296.2665395	227.2360325	308.8640207	268.9350173	351.2190701	302.2388673
tsrna-09585	10.84043743	20.66427908	39.64373497	20.08586708	5.979895591	37.66634399	13.94477868	135.9557691	55.84848634
tsrna-11764	0	1.291517443	0	0	0	3.766634399	7.968444958	28.32411855	0
tsrna-15557	16.26065615	12.91517443	8.809718882	16.319767	17.93968677	15.0665376	23.90533487	33.98894226	16.42602539
tsrna-19711	0	0	4.404859441	1.255366693	0	3.766634399	1.992111239	0	3.285205079
tsrna-02947	15.17661241	21.95579652	30.83401609	21.34123377	29.89947796	101.6991288	25.89744611	28.32411855	29.56684571
tsrna-07553	1.084043743	1.291517443	0	1.255366693	0	0	1.992111239	11.32964742	6.570410158
tsrna-06906	1.084043743	5.16606977	0	3.766100078	0	0	1.992111239	0	0
tsrna-10483	0	0	0	0	5.979895591	0	0	0	3.285205079
tsrna-03100	1.084043743	3.874552328	0	0	0	7.533268798	7.968444958	28.32411855	6.570410158
tsrna-03460	52.03409968	81.36559888	110.121486	124.2813026	59.79895591	135.5988384	69.72389338	107.6316505	141.2638184
tsrna-23612	3.25213123	19.37276164	13.21457832	5.02146677	0	37.66634399	21.91322363	0	9.855615237
tsrna-17824	0	0	0	0	5.979895591	0	0	0	0
tsrna-00821	2.168087487	2.583034885	13.21457832	2.510733385	5.979895591	3.766634399	3.984222479	0	13.14082032
tsrna-25044	1.084043743	0	0	0	0	0	0	0	0
tsrna-00295	15.17661241	6.457587213	17.61943776	20.08586708	0	56.49951599	23.90533487	16.99447113	26.28164063
tsrna-03360	255.8343234	315.130256	330.3644581	273.669939	245.1757192	316.3972895	368.5405793	300.2356567	358.0873536
tsrna-03973	0	0	0	0	0	3.766634399	0	0	0
tsrna-04266	8.672349947	7.749104656	13.21457832	6.276833463	5.979895591	37.66634399	13.94477868	5.664823711	19.71123047
tsrna-03547	0	1.291517443	4.404859441	0	0	0	0	0	0
tsrna-13889	0	0	0	0	0	0	1.992111239	0	0
tsrna-11537	1.084043743	2.583034885	4.404859441	0	0	0	0	0	0
tsrna-19124	0	0	0	0	5.979895591	0	0	0	0
tsrna-24752	0	0	0	2.510733385	0	3.766634399	0	0	0
tsrna-18252	0	0	0	0	0	0	0	5.664823711	0
tsrna-13641	6.50426246	10.33213954	17.61943776	20.08586708	0	18.833172	27.88955735	5.664823711	13.14082032
tsrna-11778	0	0	0	2.510733385	0	0	0	5.664823711	0
tsrna-10395	0	0	0	1.255366693	5.979895591	0	5.976333718	5.664823711	0
tsrna-15135	0	0	0	1.255366693	0	0	0	0	0
tsrna-10828	0	0	0	1.255366693	0	0	0	0	0
tsrna-15321	0	0	0	0	0	0	1.992111239	0	0
tsrna-23866	0	1.291517443	0	2.510733385	0	0	0	0	3.285205079
tsrna-13547	1.084043743	1.291517443	0	0	0	0	0	62.31306082	6.570410158
tsrna-23620	2.168087487	20.66427908	8.809718882	1.255366693	11.95979118	45.19961279	11.95266744	16.99447113	0
tsrna-18569	1.084043743	6.457587213	4.404859441	1.255366693	11.95979118	0	1.992111239	5.664823711	3.285205079
tsrna-07251	1.084043743	3.874552328	4.404859441	1.255366693	5.979895591	7.533268798	1.992111239	16.99447113	9.855615237
tsrna-16824	0	1.291517443	0	1.255366693	0	0	0	0	3.285205079
tsrna-03363	295.9439419	413.2855816	396.4373497	338.949007	328.8942575	459.5293967	338.6589107	430.526602	407.3654298
tsrna-15770	2.168087487	5.16606977	13.21457832	2.510733385	0	30.13307519	11.95266744	22.65929484	9.855615237
tsrna-19856	0	0	0	0	0	3.766634399	0	0	0
tsrna-10931	2.168087487	1.291517443	8.809718882	3.766100078	0	3.766634399	0	5.664823711	6.570410158
tsrna-03456	0	3.874552328	13.21457832	1.255366693	5.979895591	3.766634399	0	5.664823711	0
tsrna-15071	0	1.291517443	0	0	0	3.766634399	0	5.664823711	6.570410158
tsrna-25412	0	1.291517443	22.0242972	1.255366693	5.979895591	3.766634399	0	22.65929484	0
tsrna-02364	0	0	0	0	0	0	0	5.664823711	0
tsrna-10010	0	0	17.61943776	0	0	0	0	50.9834134	0
tsrna-13488	2.168087487	2.583034885	8.809718882	3.766100078	0	0	0	5.664823711	3.285205079
tsrna-05144	2.168087487	9.040622098	66.07289161	3.766100078	5.979895591	15.0665376	3.984222479	50.9834134	0
tsrna-06618	0	0	0	0	0	0	0	5.664823711	3.285205079
tsrna-14517	0	0	0	0	0	0	0	0	3.285205079
tsrna-13582	0	0	0	1.255366693	0	0	1.992111239	0	0
tsrna-05922	0	0	4.404859441	1.255366693	0	0	0	0	3.285205079
tsrna-06409	1.084043743	10.33213954	13.21457832	8.787566848	5.979895591	3.766634399	13.94477868	5.664823711	9.855615237
tsrna-19724	2.168087487	3.874552328	0	7.532200156	0	3.766634399	1.992111239	0	0
tsrna-01571	0	0	0	0	0	0	0	5.664823711	0
tsrna-07563	0	1.291517443	0	1.255366693	0	0	0	5.664823711	0
tsrna-21066	0	0	0	1.255366693	0	3.766634399	0	11.32964742	0
tsrna-12197	0	0	0	0	0	0	0	0	3.285205079
tsrna-08836	0	0	0	0	0	0	0	5.664823711	0
tsrna-26464	0	1.291517443	0	0	0	0	0	0	0
tsrna-11998	0	0	8.809718882	0	5.979895591	0	1.992111239	16.99447113	3.285205079
tsrna-25649	0	1.291517443	22.0242972	0	5.979895591	0	1.992111239	11.32964742	0
tsrna-24240	0	6.457587213	8.809718882	1.255366693	5.979895591	11.2999032	1.992111239	11.32964742	6.570410158
tsrna-13510	12224.76129	7059.434341	8761.265428	6594.441236	14196.27213	7058.672864	5215.347225	15872.83604	10644.06446
tsrna-04433	3.25213123	7.749104656	39.64373497	6.276833463	11.95979118	15.0665376	3.984222479	79.30753195	9.855615237
tsrna-12456	18.42874364	65.86738957	74.8826105	41.42710086	29.89947796	60.26615039	47.81066975	232.2577721	68.98930666
tsrna-11765	0	0	0	0	5.979895591	3.766634399	3.984222479	22.65929484	0
tsrna-14256	0	0	4.404859441	0	5.979895591	7.533268798	1.992111239	0	3.285205079
tsrna-16131	1.084043743	0	0	1.255366693	0	0	1.992111239	0	0
tsrna-01562	0	7.749104656	0	6.276833463	11.95979118	7.533268798	13.94477868	11.32964742	13.14082032
tsrna-04576	0	0	4.404859441	0	0	0	0	0	0
tsrna-21651	0	0	0	0	0	0	1.992111239	0	0
tsrna-15310	0	2.583034885	0	1.255366693	0	3.766634399	3.984222479	11.32964742	6.570410158
tsrna-00942	0	0	0	0	0	0	1.992111239	5.664823711	3.285205079
tsrna-25654	0	2.583034885	22.0242972	0	0	0	0	0	0
tsrna-06853	0	0	4.404859441	2.510733385	0	3.766634399	1.992111239	5.664823711	0
tsrna-10278	34.68939979	64.57587213	79.28746994	31.38416732	95.67832946	90.39922558	47.81066975	84.97235566	55.84848634
tsrna-24172	0	0	0	1.255366693	0	0	0	0	0
tsrna-21599	0	10.33213954	8.809718882	2.510733385	0	3.766634399	0	16.99447113	13.14082032
tsrna-16947	0	0	4.404859441	3.766100078	0	0	3.984222479	0	0
tsrna-21786	0	2.583034885	0	0	0	0	1.992111239	0	3.285205079
tsrna-04672	0	0	0	1.255366693	0	0	0	5.664823711	0
tsrna-13609	4.336174973	14.20669187	39.64373497	16.319767	11.95979118	41.43297839	7.968444958	96.30200308	13.14082032
tsrna-17499	1.084043743	0	0	0	0	0	0	0	0
tsrna-06970	0	0	13.21457832	0	0	0	1.992111239	5.664823711	3.285205079
tsrna-26330	1.084043743	1.291517443	0	7.532200156	0	0	1.992111239	5.664823711	3.285205079
tsrna-01584	1.084043743	0	0	0	0	0	0	0	3.285205079
tsrna-19774	16.26065615	10.33213954	13.21457832	12.55366693	17.93968677	82.86595678	13.94477868	73.64270824	36.13725587
tsrna-04095	0	1.291517443	0	0	0	0	0	0	0
tsrna-10470	0	1.291517443	4.404859441	0	0	0	0	5.664823711	3.285205079
tsrna-02965	0	0	0	0	0	0	1.992111239	0	0
tsrna-01506	0	0	4.404859441	1.255366693	0	0	0	0	0
tsrna-15145	0	3.874552328	4.404859441	0	0	0	1.992111239	11.32964742	3.285205079
tsrna-23873	1.084043743	0	0	0	0	0	5.976333718	16.99447113	3.285205079
tsrna-26531	0	1.291517443	0	0	0	3.766634399	0	5.664823711	0
tsrna-19722	1.084043743	5.16606977	0	8.787566848	0	0	0	0	0
tsrna-02962	0	0	0	1.255366693	0	0	0	0	0
tsrna-26395	0	0	0	0	0	0	0	0	3.285205079
tsrna-23350	2.168087487	7.749104656	13.21457832	1.255366693	5.979895591	3.766634399	11.95266744	0	3.285205079
tsrna-00986	1.084043743	2.583034885	8.809718882	1.255366693	5.979895591	11.2999032	1.992111239	5.664823711	6.570410158
tsrna-07887	0	2.583034885	13.21457832	8.787566848	0	3.766634399	1.992111239	0	0
tsrna-06953	0	0	0	0	5.979895591	0	3.984222479	11.32964742	3.285205079
tsrna-19493	2.168087487	11.62365698	26.42915665	6.276833463	17.93968677	15.0665376	9.960556197	124.6261216	26.28164063
tsrna-04295	0	1.291517443	0	1.255366693	0	3.766634399	1.992111239	0	0
tsrna-23609	4.336174973	23.24731397	4.404859441	5.02146677	5.979895591	26.36644079	9.960556197	5.664823711	0
tsrna-26378	0	1.291517443	0	0	0	0	0	5.664823711	0
tsrna-16379	2.168087487	0	0	5.02146677	0	0	0	0	0
tsrna-25072	0	0	0	0	0	0	1.992111239	5.664823711	3.285205079
tsrna-20087	0	0	0	1.255366693	0	3.766634399	0	0	3.285205079
tsrna-08018	2.168087487	5.16606977	8.809718882	10.04293354	0	3.766634399	3.984222479	11.32964742	0
tsrna-21537	1.084043743	1.291517443	0	0	0	7.533268798	0	0	0
tsrna-17759	0	2.583034885	4.404859441	0	0	7.533268798	1.992111239	5.664823711	3.285205079
tsrna-19672	1.084043743	11.62365698	4.404859441	2.510733385	0	7.533268798	5.976333718	22.65929484	19.71123047
tsrna-18388	3.25213123	2.583034885	0	2.510733385	17.93968677	11.2999032	7.968444958	22.65929484	6.570410158
tsrna-14832	1.084043743	0	0	1.255366693	5.979895591	0	13.94477868	16.99447113	3.285205079
tsrna-04729	0	5.16606977	8.809718882	2.510733385	0	0	1.992111239	5.664823711	3.285205079
tsrna-22826	1.084043743	2.583034885	0	3.766100078	0	0	0	5.664823711	3.285205079
tsrna-13829	1.084043743	6.457587213	0	5.02146677	0	0	7.968444958	0	0
tsrna-10958	2.168087487	1.291517443	4.404859441	1.255366693	11.95979118	3.766634399	1.992111239	0	13.14082032
tsrna-06460	0	0	0	1.255366693	0	0	3.984222479	0	3.285205079
tsrna-04451	0	0	0	1.255366693	0	0	0	0	0
tsrna-15105	161.5225178	162.7311978	242.2672693	141.8564363	328.8942575	218.4647952	165.3452329	237.9225958	170.8306641
tsrna-04890	1.084043743	0	0	2.510733385	0	0	0	0	0
tsrna-16659	0	0	0	0	0	0	1.992111239	0	0
tsrna-19130	0	1.291517443	0	0	0	3.766634399	0	0	3.285205079
tsrna-04877	0	0	0	0	0	0	0	5.664823711	0
tsrna-13995	0	2.583034885	0	1.255366693	0	0	3.984222479	11.32964742	3.285205079
