GeneID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
RASSF10	0.0	0.0	0.0	0.0	29.334735071863534	0.0	0.0	2.127886388313232
SNORA57	0.0	0.0	0.0	0.0	504.54790256453015	0.0	0.0	78.73295429597069
GK	1.0840169018780377	1.6844327884350152	8.646891620666945	0.8245972748813866	0.0	0.0	0.0	0.0
ACVR1C	0.0	0.0	0.0	0.0	7.704754310266333	0.545343473999848	0.0	1.2695060954989104
HIST1H3A	13.229513309433724	34.20698698410956	63.821736602395035	30.067319031712373	0.0	0.0	0.0	0.0
TGFB3	9.359978114224225	3.0452103032548234	1.451262197865192	12.30563154397059	0.0	0.0	0.0	0.0
CDCA3	0.0	0.0	0.0	0.0	46.70734602994389	0.11737599542235871	12.258547910490911	16.012600870039417
ATP1A1OS	0.06788448295540937	0.0	0.10363541279991714	0.0	32.988940002386876	0.0	7.261922138647022	7.5152431973314755
LOC100129096	97.33160049147249	0.0	0.0	6.770251701522554	0.0	0.0	0.0	0.0
FBXL14	25.982488394305946	25.68570094734953	18.75609508812598	11.352424294928039	0.7658566493188775	0.0	0.0	0.0
BPIFB4	0.0	0.0	0.0	0.0	29.597787852411955	2.5169430333944427	0.0	0.0
KIF2A	0.0	3.3755795277961687	0.0	17.931797270316295	0.0	0.0	0.0	0.0
TPCN2	6.0244034424128845	0.36830964130094396	2.563130989391345	0.9812370732908858	0.0	0.0	0.0	0.0
RP11-290F20.3	17.348301786437425	7.59789807050895	0.0	12.881299519596995	0.0	0.10470405959815382	0.0	0.0
RP11-460N16.1	0.0	0.0	0.0	0.0	37.24764783397012	0.0	3.3281729742965815	0.0
DHODH	0.0	0.031780048365240766	0.0	0.0	13.122971041709668	7.6308422174377615	13.091247210272593	18.380498693095184
MB21D1	4.545020588015666	8.089680091720886	5.151404658886891	6.884740066488266	0.0	0.0	0.12076557622174593	0.08565928347230876
TMEM92	3.408404571026062	2.92687698776875	8.558255086657415	1.782326537896636	0.0	0.0	0.0	0.0
GALNT14	12.028524437312328	3.523031114748798	2.245867564972263	2.6330759565424473	0.0	0.0	0.0	0.0
HIST1H2AI	64.2954346838479	82.39279076461004	0.0	42.061386186439165	0.0	0.0	0.0	0.0
GATA1	5.198483621779918	15.21757553761641	0.0	39.205745780839045	0.0	0.0	0.0	0.10429596541695973
