AccID	log2FC	Pvalue	FDR
HTR4	1.17154637594309	0.625797906920445	0.999945521717091
HTR6	-20.2542432245153	1	1
HTR7	0.0953853112451616	0.973137882291078	0.999945521717091
BBX	2.52423632374556	0.383285908323503	0.999945521717091
RP11-48F14.1	4.53056530505065	1	1
LOC100421505	1.81080348558436	1	1
WDR83OS	-0.502708515723538	0.350402465596435	0.999945521717091
LOC100421509	-5.0741323526563	1	1
LOC100421503	-6.63567502451236	1	1
BCR	0.29915185060169	0.807144945451512	0.999945521717091
VOPP1	0.269119145252062	0.673950002436616	0.999945521717091
LOC402715	4.43792554657491	1	1
LOC100421518	5.57201442216102	0.063985263438	0.519708804051553
COL13A1	-1.95605912100177	0.384433688903417	0.999945521717091
TARSL2	-0.238026617123862	0.84572633170454	0.999945521717091
LOC100421511	-3.24440617140646	0.284084059703021	1
LOC100421513	1.8822909917078	0.516486033482174	0.999945521717091
T	5.52733752475802	1	1
LOC100132352	-2.62994725131924	0.0738836510993439	0.579822581438965
LOC100132354	-0.928892911349196	1	1
LOC100132356	21.8686198827209	1	1
GTF2IRD2B	0.304101843742202	0.852032824497173	0.999945521717091
SRP72P2	1.74117059457838	0.449974863334811	0.999945521717091
LOC100335030	-5.76808964720613	1	1
LOC100421527	21.4349916799709	1	1
DHFR	0.67748688490196	0.71142162924573	0.999945521717091
STRC	-5.14243424304491	0.0255058510201711	0.341481457652161
STRN	-0.90789643918732	0.289994451094088	0.999945521717091
LOC100288181	-2.53279472763812	0.3820750068585	0.999945521717091
BBC3	1.08251685686997	0.4050653710582	0.999945521717091
MYBPC3	-0.402034492708128	0.871712261758224	0.999945521717091
MYBPC1	1.45451342063242	0.405315594148362	0.999945521717091
MYBPC2	-7.61021010402114	0.00579893855202786	0.150983254995737
FLJ20021	-0.0387371478073636	0.983131207645182	0.999945521717091
BGN	0.334659965076547	0.67072990511224	0.999945521717091
LOC100288192	-19.9366439815742	1	1
TMEFF1	7.05797794635065	0.015771667943537	0.299612301570387
TMEFF2	-5.76394409852387	1	1
TRDD2	5.44621366749347	1	1
LOC100132306	-0.375178430121687	1	1
RPS7P11	-0.630883927440428	0.54385156029733	0.999945521717091
RPS7P10	-1.0191625007053	0.273000595387015	0.999945521717091
PAXBP1-AS1	-0.307545985367053	0.903193196315129	0.999945521717091
FLJ44006	3.20338817079621	0.270773430942671	0.999945521717091
STX6	-0.343123908733378	0.834334547741918	0.999945521717091
STX5	-0.43634622825453	0.627535707651087	0.999945521717091
STX4	0.921615652217413	0.127438656864741	0.867202960356952
STX3	1.33657270643547	0.632885492240402	0.999945521717091
BID	-0.291355986592773	0.70841235606885	0.999945521717091
STX2	-0.0794712476496557	0.975403927490943	0.999945521717091
SPDEF	1.17475362250402	0.38173851991512	0.999945521717091
MBD3	-0.321861744087374	0.582799284317898	0.999945521717091
MBD4	-0.602059469404719	0.710547577991938	0.999945521717091
MBD5	2.50835351427813	0.387650513149784	0.999945521717091
GATSL3	-0.107718961340785	0.969593599080686	0.999945521717091
MBD6	1.01097132490453	0.0932949142335172	0.696980186467301
BIK	-0.409074268283521	0.811109588108838	0.999945521717091
MBD1	-0.504656073183231	0.444091107135996	0.999945521717091
MBD2	0.0406683425087419	0.971603694188011	0.999945521717091
RP11-600K15.1	-4.13903271037739	1	1
PRKRIR	-0.752461294251085	0.618440613537604	0.999945521717091
LOC257358	6.75142384121312	0.0247179413542879	0.339503256382404
FBXO27	-0.964487743599236	1	1
FBXO28	0.353267446975367	0.807250943504799	0.999945521717091
FBXO25	1.206997321536	0.466618734869376	0.999945521717091
FBXO24	3.15569826547745	0.200576053608525	0.999945521717091
FBXO21	-3.62007222477073	0.0301809158823712	0.354628050487586
FBXO22	0.159432279071729	0.949689301123208	0.999945521717091
FADS3	-1.20620971761648	0.562517526229853	0.999945521717091
FADS2	-0.185116277736537	0.8640404959877	0.999945521717091
MYBPHL	5.941609854488	1	1
FNTA	0.58701081802019	0.398948901260728	0.999945521717091
FADS6	1.06780843112975	0.633756068339405	0.999945521717091
LOC100288146	6.38717333495455	1	1
FNTB	-0.178608495626314	0.937527321096358	0.999945521717091
RP11-767I20.1	5.77842965828956	1	1
FADS1	-1.26550201139269	0.544847243118384	0.999945521717091
FBXO18	0.785042593301366	0.241800825649543	0.999945521717091
STX8	0.723556015356736	0.387609507377722	0.999945521717091
FBXO16	1.52353593052683	0.598373887939813	0.999945521717091
FBXO17	1.95337396678295	0.313393525725126	0.999945521717091
STX7	-1.1096851836438	0.414137296940927	0.999945521717091
FGD5P1	7.36911140115305	0.0126725681181293	0.266314165336991
FBXO15	-5.48704373931284	1	1
LOC100288152	2.5490005304231	0.184750206556639	0.999945521717091
LOC100421587	-6.10908518235286	0.0422678996586442	0.404958612666256
LOC100288151	4.28868047533726	1	1
FBXO10	1.16560914470673	0.596610974590026	0.999945521717091
FBXO11	-1.85131345251744	0.22829922397721	0.999945521717091
MINPP1	0.890177374792395	0.604441332267518	0.999945521717091
LOC642441	-0.46026177458898	0.750289631903908	0.999945521717091
LOC100421583	-5.76394409852387	1	1
BLK	0.340443765375909	0.753931131220003	0.999945521717091
BLM	0.881500470978693	0.633682307033595	0.999945521717091
IREB2	-0.468707555952952	0.701915011589158	0.999945521717091
LOC100421597	-0.368656831265424	1	1
FBXO47	3.40132744533691	0.242915895190974	0.999945521717091
FBXO48	1.30400287668017	0.622209457778658	0.999945521717091
FBXO45	0.243907309307762	0.885612614207118	0.999945521717091
FBXO46	-0.28343104742753	0.784124309746691	0.999945521717091
FBXO43	0.500845349141443	0.863696864092566	1
FBXO44	-1.64765627036823	0.112825344029585	0.802387040247915
FBXO41	-0.734610493477546	0.466447092355849	0.999945521717091
FBXO42	0.575596369655265	0.596306123054518	0.999945521717091
